0.822417,0.822417,0.822417,0.989102,0.822417,0.822417,0.822417,1.000000,0.960389,0.822417,0.881510,0.822417,0.822417,0.822417,0.822417,0.822417,0.972369,0.822417,0.822417,0.941303,0.835576,1.000000,0.822417,0.822417,0.822417,0.822417,0.822417,0.822417,0.955626,0.822417,0.822417,0.822417,0.822417,0.822417,0.822417,0.960076,0.822417,1.000000,0.822417,0.822417,0.822417,0.822417,0.756003,0.970116,0.822417,0.908278,0.821207,0.822417,0.822417,0.822417,0.936328,0.822417,0.822417,0.772202,0.822417,0.792022,0.854011,0.822417,0.822417,0.822417,0.822417,0.822417,0.860334,0.822417,1.000000,0.822417,0.822417,0.613792,0.607843,0.921055,0.967245,0.822417,0.822417,0.822417,0.916682,0.822417,0.823983,0.822417,0.822417,0.822417,0.837792,1.000000,0.802976,0.822417,0.822417,0.822417,0.822417,0.822417,0.835725,0.910921,0.822417,0.822417,0.999494,1.000000,0.822417,0.822417,1.000000
0.950987,0.950987,0.950987,0.962324,0.950987,0.950987,0.950987,0.950148,0.965421,0.950987,0.936682,0.950987,0.950987,0.950987,0.950987,0.950987,0.588701,0.950987,0.950987,0.580506,0.882940,0.998993,0.950987,0.950987,0.950987,0.950987,0.950987,0.950987,0.724247,0.950987,0.950987,0.950987,0.950987,0.950987,0.950987,0.925037,0.950987,0.972831,0.950987,0.950987,0.950987,0.950987,0.859853,0.690637,0.950987,0.910239,0.906032,0.950987,0.950987,0.950987,0.886097,0.950987,0.950987,0.710803,0.950987,0.882621,0.919740,0.950987,0.950987,0.950987,0.950987,0.950987,0.882870,0.950987,0.944195,0.950987,0.950987,0.821266,0.740098,0.855527,0.511321,0.950987,0.950987,0.950987,0.975547,0.950987,0.931858,0.950987,0.950987,0.950987,0.885898,0.931838,0.623260,0.950987,0.950987,0.950987,0.950987,0.950987,0.887862,0.942012,0.950987,0.950987,1.000000,0.914823,0.950987,0.950987,0.971296
0.648760,0.648760,0.648760,1.000000,0.648760,0.648760,0.648760,0.800753,0.961625,0.648760,0.938158,0.648760,0.648760,0.648760,0.648760,0.648760,0.843153,0.648760,0.648760,0.489892,0.911216,0.878230,0.648760,0.648760,0.648760,0.648760,0.648760,0.648760,0.714474,0.648760,0.648760,0.648760,0.648760,0.648760,0.648760,0.716487,0.648760,0.873963,0.648760,0.648760,0.648760,0.648760,0.778437,0.829602,0.648760,0.862687,0.843480,0.648760,0.648760,0.648760,0.882525,0.648760,0.648760,0.854336,0.648760,0.886269,0.848567,0.648760,0.648760,0.648760,0.648760,0.648760,0.871987,0.648760,0.852458,0.648760,0.648760,0.782917,0.873134,0.917816,0.806205,0.648760,0.648760,0.648760,0.847719,0.648760,0.894459,0.648760,0.648760,0.648760,0.668739,0.905397,0.865067,0.648760,0.648760,0.648760,0.648760,0.648760,0.925030,0.914886,0.648760,0.648760,0.957281,0.857750,0.648760,0.648760,0.933203
0.445483,0.445483,0.445483,0.987942,0.445483,0.445483,0.445483,0.733406,0.950087,0.445483,0.885425,0.445483,0.445483,0.445483,0.445483,0.445483,0.721394,0.445483,0.445483,0.467019,0.941518,0.884979,0.445483,0.445483,0.445483,0.445483,0.445483,0.445483,0.640238,0.445483,0.445483,0.445483,0.445483,0.445483,0.445483,0.596120,0.445483,0.848566,0.445483,0.445483,0.445483,0.445483,0.770732,0.744153,0.445483,0.859658,0.796202,0.445483,0.445483,0.445483,0.834681,0.445483,0.445483,0.778953,0.445483,0.916610,0.907199,0.445483,0.445483,0.445483,0.445483,0.445483,0.826247,0.445483,0.799774,0.445483,0.445483,0.829069,0.876984,0.901983,0.761637,0.445483,0.445483,0.445483,0.731608,0.445483,0.845054,0.445483,0.445483,0.445483,0.659310,0.865721,0.895556,0.445483,0.445483,0.445483,0.445483,0.445483,0.909931,0.882257,0.445483,0.445483,0.973568,0.766014,0.445483,0.445483,0.920664
0.560480,0.560480,0.560480,0.983100,0.560480,0.560480,0.560480,0.778639,0.953074,0.560480,0.917106,0.560480,0.560480,0.560480,0.560480,0.560480,0.771374,0.560480,0.560480,0.435270,0.912064,0.898249,0.560480,0.560480,0.560480,0.560480,0.560480,0.560480,0.705929,0.560480,0.560480,0.560480,0.560480,0.560480,0.560480,0.684665,0.560480,0.861878,0.560480,0.560480,0.560480,0.560480,0.794858,0.766189,0.560480,0.864897,0.818315,0.560480,0.560480,0.560480,0.822362,0.560480,0.560480,0.839247,0.560480,0.907450,0.881249,0.560480,0.560480,0.560480,0.560480,0.560480,0.855765,0.560480,0.851136,0.560480,0.560480,0.764118,0.845636,0.878742,0.791892,0.560480,0.560480,0.560480,0.860771,0.560480,0.863227,0.560480,0.560480,0.560480,0.738002,0.877575,0.872275,0.560480,0.560480,0.560480,0.560480,0.560480,0.902406,0.905831,0.560480,0.560480,0.965922,0.814493,0.560480,0.560480,0.931056
1.000000,1.000000,1.000000,0.980966,1.000000,1.000000,1.000000,0.412247,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.939892,1.000000,1.000000,0.613251,0.862933,0.948186,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.874871,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.921997,1.000000,0.848557,1.000000,1.000000,1.000000,1.000000,0.472572,0.918333,1.000000,0.808253,0.932469,1.000000,1.000000,1.000000,0.982196,1.000000,1.000000,0.994830,1.000000,0.849253,0.806104,1.000000,1.000000,1.000000,1.000000,1.000000,0.918092,1.000000,0.716962,1.000000,1.000000,0.760669,0.914929,1.000000,0.741832,1.000000,1.000000,1.000000,0.910519,1.000000,1.000000,1.000000,1.000000,1.000000,0.467459,0.969742,0.874448,1.000000,1.000000,1.000000,1.000000,1.000000,0.983739,0.984125,1.000000,1.000000,0.940720,0.899447,1.000000,1.000000,0.983817
0.567002,0.567002,0.567002,0.975497,0.567002,0.567002,0.567002,0.948212,0.935035,0.567002,0.897389,0.567002,0.567002,0.567002,0.567002,0.567002,0.794373,0.567002,0.567002,0.630886,0.893735,0.986321,0.567002,0.567002,0.567002,0.567002,0.567002,0.567002,0.639960,0.567002,0.567002,0.567002,0.567002,0.567002,0.567002,0.785076,0.567002,0.955205,0.567002,0.567002,0.567002,0.567002,0.874503,0.668621,0.567002,0.844228,0.741840,0.567002,0.567002,0.567002,0.777506,0.567002,0.567002,0.741865,0.567002,0.864082,0.906260,0.567002,0.567002,0.567002,0.567002,0.567002,0.822785,0.567002,0.926904,0.567002,0.567002,0.776689,0.779483,0.895007,0.764766,0.567002,0.567002,0.567002,0.944676,0.567002,0.836075,0.567002,0.567002,0.567002,0.872201,0.919823,0.711215,0.567002,0.567002,0.567002,0.567002,0.567002,0.818483,0.896221,0.567002,0.567002,0.982205,0.875008,0.567002,0.567002,0.953456
0.474701,0.474701,0.474701,0.925878,0.474701,0.474701,0.474701,0.933082,0.755806,0.474701,0.334498,0.474701,0.474701,0.474701,0.474701,0.474701,0.504245,0.474701,0.474701,0.716991,0.000000,0.664727,0.474701,0.474701,0.474701,0.474701,0.474701,0.474701,1.000000,0.474701,0.474701,0.474701,0.474701,0.474701,0.474701,1.000000,0.474701,0.627422,0.474701,0.474701,0.474701,0.474701,0.351793,0.399133,0.474701,0.162795,1.000000,0.474701,0.474701,0.474701,0.378640,0.474701,0.474701,1.000000,0.474701,0.000000,0.020292,0.474701,0.474701,0.474701,0.474701,0.474701,0.588824,0.474701,0.000000,0.474701,0.474701,0.313038,0.000000,0.255952,0.653558,0.474701,0.474701,0.474701,0.811281,0.474701,0.958235,0.474701,0.474701,0.474701,0.935382,0.000000,0.382350,0.474701,0.474701,0.474701,0.474701,0.474701,0.429798,0.370355,0.474701,0.474701,0.751597,0.949420,0.474701,0.474701,0.000000
0.539130,0.539130,0.539130,0.888260,0.539130,0.539130,0.539130,0.913977,0.989014,0.539130,0.967155,0.539130,0.539130,0.539130,0.539130,0.539130,0.656208,0.539130,0.539130,0.907750,0.711299,0.827736,0.539130,0.539130,0.539130,0.539130,0.539130,0.539130,0.910285,0.539130,0.539130,0.539130,0.539130,0.539130,0.539130,0.968065,0.539130,0.860058,0.539130,0.539130,0.539130,0.539130,0.540315,0.857614,0.539130,0.588641,0.943224,0.539130,0.539130,0.539130,0.984324,0.539130,0.539130,0.864976,0.539130,0.843743,0.677265,0.539130,0.539130,0.539130,0.539130,0.539130,0.967667,0.539130,0.886243,0.539130,0.539130,0.721147,0.741293,0.919874,0.755249,0.539130,0.539130,0.539130,1.000000,0.539130,0.971979,0.539130,0.539130,0.539130,0.755686,0.945880,0.663963,0.539130,0.539130,0.539130,0.539130,0.539130,0.979267,0.991494,0.539130,0.539130,0.547229,0.963259,0.539130,0.539130,0.949641
0.736009,0.736009,0.736009,0.896006,0.736009,0.736009,0.736009,0.413266,0.999471,0.736009,0.978387,0.736009,0.736009,0.736009,0.736009,0.736009,0.699187,0.736009,0.736009,0.383469,0.438242,0.623883,0.736009,0.736009,0.736009,0.736009,0.736009,0.736009,0.909537,0.736009,0.736009,0.736009,0.736009,0.736009,0.736009,0.931997,0.736009,0.511995,0.736009,0.736009,0.736009,0.736009,0.000000,0.959291,0.736009,0.162111,0.971261,0.736009,0.736009,0.736009,1.000000,0.736009,0.736009,0.879460,0.736009,0.853112,0.000000,0.736009,0.736009,0.736009,0.736009,0.736009,1.000000,0.736009,0.501965,0.736009,0.736009,0.559369,0.534292,0.839419,0.610850,0.736009,0.736009,0.736009,0.920553,0.736009,0.989288,0.736009,0.736009,0.736009,0.000000,0.911534,0.767852,0.736009,0.736009,0.736009,0.736009,0.736009,1.000000,1.000000,0.736009,0.736009,0.000000,0.830668,0.736009,0.736009,0.958284
